loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
518 scans accepted
258 scans rejected
should fail but pass struct pipeline:
CC00063AN06-15102
CC00067XX10-20200
CC00084XX11-31201
CC00127XX12-43200
CC00146XX15-48400
CC00155XX07-51300
CC00171XX07-56300
CC00191XX11-79600
CC00221XX07-75000
CC00236XX14-78700
CC00259XX12-85100
CC00265XX10-86901
CC00269XX14-88300
CC00298XX19-94700
CC00320XX07-102300
CC00324XX11-111200
CC00326XX13-104100
CC00328XX15-104800
CC00427XX15-130100
CC00432XX12-131800
CC00443XX15-133900
CC00468XX15-139100
CC00507XX12-148202
CC00526XX15-150500
CC00530XX11-153600
CC00554XX10-160200
CC00578AN18-164900
CC00596XX20-190100
CC00605XX11-172700
CC00605XX11-187700
CC00688XX21-199500
CC00689XX22-199800
CC00792XX18-244200
CC00833XX17-20510
CC00894XX21-3020
should pass but fail struct pipeline:
subject,session,accept,antonis1,antonis2,antonis3,kingsT1,kingsT2,structT1,structT2,matteo
CC00286XX15,91700,true,4,4,4,true,true,true,true,true,
CC00287AN16,91801,false,,,4,,,,,true,
CC00287BN16,93900,false,4,4,4,false,true,,,true,
CC00289XX18,119700,true,,,4,true,true,true,true,true,
CC00290XX11,92900,false,,,4,false,true,,,true,
CC00291XX12,93100,false,,,4,true,true,,,true,
CC00292XX13,93800,true,4,4,4,true,true,true,true,true,
CC00293AN14,97401,true,,,4,true,true,true,true,true,
CC00293BN14,97500,true,,,4,true,true,true,true,true,
CC00295XX16,127500,false,4,4,4,false,true,,,true,
CC00298XX19,94700,false,2,2,2,true,true,true,true,true,
CC00299XX20,94900,false,4,3,3,false,true,,,true,
CC00300XX03,96000,true,,,4,false,true,true,true,true,
CC00301XX04,113001,true,4,4,4,true,true,true,true,true,
CC00301XX04,96400,true,,,3,true,true,true,true,true,
CC00302XX05,113500,true,,,4,true,true,true,true,true,
CC00303XX06,96900,true,4,4,4,true,true,true,true,true,
CC00304XX07,111600,true,,,4,true,true,true,true,true,
CC00305XX08,115700,true,,,4,true,true,true,true,true,
CC00305XX08,98101,true,,,4,true,true,true,true,true,
CC00306XX09,98700,true,,,4,true,true,true,true,true,
CC00307XX10,98800,true,,,4,true,true,true,true,true,
CC00308XX11,98900,true,,,4,true,true,true,true,true,
CC00309BN12,99400,true,4,4,4,true,true,true,true,true,
CC00310XX05,99500,false,1,1,1,false,false,,,true,
CC00313XX08,100000,true,4,4,4,true,true,true,true,true,
CC00314XX09,100101,true,,,3,true,true,true,true,true,
CC00316XX11,101300,true,4,4,4,true,true,true,true,true,
CC00319XX14,117300,true,,,3,false,true,true,true,true,
CC00320XX07,102300,false,2,2,2,true,true,true,true,true,
CC00321XX08,102700,true,4,4,4,true,true,true,true,true,
CC00322XX09,103700,false,,,4,false,true,,,true,
CC00324XX11,111200,false,,,2,true,true,true,true,true,
CC00325XX12,103900,true,,,4,true,true,true,true,true,
CC00326XX13,104100,false,,,2,true,true,true,true,true,
CC00326XX13,118800,true,3,4,4,true,true,true,true,true,
CC00328XX15,104800,false,,,1,true,true,true,true,true,
CC00329XX16,105400,true,,,3,true,true,true,true,true,
CC00330XX09,128200,false,,,4,false,true,,,true,
CC00332XX11,105700,true,4,4,4,true,true,true,true,true,
CC00333XX12,105800,true,4,4,4,true,true,true,true,true,
CC00334XX13,106100,true,3,3,3,true,true,true,true,true,
CC00335XX14,106300,false,4,4,4,false,true,,,true,
CC00336XX15,106600,false,,,4,false,true,,,true,
CC00337XX16,107000,true,,,4,true,true,true,true,true,
CC00338AN17,107700,true,,,4,true,true,true,true,true,
CC00338BN17,107600,true,4,4,4,true,true,true,true,true,
CC00339XX18,107200,true,,,3,true,true,true,true,true,
CC00340XX11,107902,false,4,4,4,false,true,,,true,
CC00341XX12,108000,true,,,3,false,true,true,true,true,
CC00342XX13,108300,true,4,4,4,true,true,true,true,true,
CC00343XX14,108500,true,4,4,4,true,true,true,true,true,
CC00344XX15,108600,true,4,4,4,true,true,true,true,true,
CC00345XX16,109000,true,,,4,true,true,true,true,true,
CC00346XX17,109200,false,3,4,4,false,true,,,true,
CC00347XX18,109600,true,3,4,4,true,true,true,true,true,
CC00348XX19,110200,true,,,3,true,true,true,true,true,
CC00349XX20,110300,true,,,4,true,true,true,true,true,
CC00350XX04,109100,true,4,4,4,true,true,true,true,true,
CC00351XX05,109500,true,,,4,true,true,true,true,true,
CC00352XX06,110700,true,,,3,true,true,true,true,true,
CC00353XX07,111000,true,3,3,3,true,true,true,true,true,
CC00354XX08,112100,false,4,4,4,false,true,,,true,
CC00355XX09,112600,false,,,4,false,true,,,true,
CC00356XX10,112901,true,,,4,true,true,true,true,true,
CC00357XX11,113900,true,4,4,4,true,true,true,true,true,
