loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
loading matteo's QC ...
820 matteo successes
loading sean's QC ...
590 sean successes
finding images in struct output with at least T2 ...
669 struct pipeline successes
920 scans
352 scans accepted
568 scans rejected
subject,session,accept,antonis1,antonis2,antonis3,antonis,has_struct,matteo,matteo_qc,sean_qc
CC00181XX09,60000,true,,,3,true,true,,true,true,
CC00182XX10,60200,true,,,4,true,true,,true,true,
CC00183XX11,60300,true,,,3,true,true,,true,true,
CC00184XX12,60501,true,,,4,true,true,,true,true,
CC00185XX13,60800,true,,,4,true,true,,true,true,
CC00186AN14,60900,true,,,4,true,true,,true,true,
CC00186BN14,61000,true,,,4,true,true,,true,true,
CC00187XX15,61500,false,,,4,true,true,,false,true,
CC00188XX16,61800,false,,,4,true,true,,false,true,
CC00189XX17,62301,true,,,3,true,true,,true,true,
CC00191XX11,65200,true,,,3,true,true,,true,true,
CC00191XX11,79600,true,2,2,2,true,true,,true,true,
CC00192AN12,64301,false,4,4,4,true,true,,true,,
CC00193XX13,64400,true,,,3,true,true,,true,true,
CC00194XX14,65401,true,4,4,4,true,true,,true,true,
CC00195XX15,65800,true,4,4,4,true,true,,true,true,
CC00196XX16,66100,false,4,4,4,true,true,,false,true,
CC00197XX17,66500,true,,,4,true,true,,true,true,
CC00198XX18,66600,true,,,3,true,true,,true,true,
CC00199XX19,66700,true,,,3,true,true,,true,true,
CC00200XX02,67204,true,4,3,3,true,true,,true,true,
CC00201XX03,67600,true,4,4,4,true,true,,true,true,
CC00202XX04,67800,true,,,4,true,true,,true,true,
CC00203XX05,69500,true,,,4,true,true,,true,true,
CC00204XX06,69900,true,,,3,true,true,,true,true,
CC00205XX07,70000,true,3,4,4,true,true,,true,true,
CC00206XX08,70100,true,4,4,4,true,true,,true,true,
CC00207XX09,70301,false,,,,,,,false,,
CC00207XX09,88700,true,,,4,true,true,,true,true,
CC00209XX11,70400,true,4,4,4,true,true,,true,true,
CC00216AN10,73100,true,4,4,4,true,true,,true,true,
CC00216BN10,73200,false,4,4,4,true,true,,false,true,
CC00217XX11,73700,true,4,4,4,true,true,,true,true,
CC00218AN12,74801,true,,,3,true,true,,true,true,
CC00218AN12,85900,true,4,4,4,true,true,,true,true,
CC00218BN12,74800,true,,,3,true,true,,true,true,
CC00218BN12,86000,false,4,4,4,true,true,,false,,
CC00219XX13,74400,false,,,,,,,false,,
CC00219XX13,86600,true,,,4,true,true,,true,true,
CC00221XX07,75000,true,3,2,2,true,true,,true,true,
CC00223XX09,75900,true,4,4,4,true,true,,true,true,
CC00226XX12,76600,false,,,4,true,true,,false,true,
CC00227XX13,76601,false,,,1,false,true,,false,,
CC00227XX13,92100,true,,,4,true,true,,true,true,
CC00228XX14,77001,false,,,3,true,true,,false,,
CC00228XX14,81300,false,,,3,true,true,,false,,
CC00231XX09,77701,true,4,4,4,true,true,,true,true,
CC00232XX10,78300,false,,,4,true,true,,false,true,
CC00233XX11,77800,true,4,4,4,true,true,,true,true,
CC00236XX14,78700,true,2,2,2,true,true,,true,true,
CC00237XX15,79300,true,4,4,4,true,true,,true,true,
CC00238AN16,80300,true,3,3,3,true,true,,true,true,
CC00238BN16,80400,true,3,3,3,true,true,,true,true,
CC00239XX17,80600,false,3,4,4,true,true,,false,,
CC00242XX12,80900,false,3,3,3,true,true,,false,,
CC00243BN13,81100,false,,,4,true,true,,false,,
CC00244XX14,81200,true,,,4,true,true,,true,true,
CC00245AN15,82304,true,,,4,true,true,,true,true,
CC00245AN15,94300,true,4,4,4,true,true,,true,true,
CC00245BN15,82600,true,,,4,true,true,,true,true,
CC00245BN15,94300,false,,,,,,,false,,
CC00245BN15,94400,false,,,,,,,,,
CC00247XX17,82801,true,,,3,true,true,,true,true,
CC00248XX18,82801,false,,,,,,,false,,
CC00248XX18,92700,true,,,4,true,true,,true,true,
CC00249XX19,883300,false,,,,,,,false,,
CC00250XX03,83700,true,4,3,3,true,true,,true,true,
CC00251XX04,83800,false,,,4,true,true,,false,true,
CC00252XX05,84000,true,4,4,4,true,true,,true,true,
CC00254XX07,84300,true,4,4,4,true,true,,true,true,
CC00255XX08,84400,true,,,3,true,true,,true,true,
CC00256XX09,84500,false,,,3,true,true,,false,,
CC00257XX10,84700,true,3,3,3,true,true,,true,true,
CC00258XX11,84900,true,4,4,4,true,true,,true,true,
CC00259XX12,85100,false,,,1,false,true,,true,true,
CC00260XX05,85300,true,,,4,true,true,,true,true,
CC00261XX06,85600,false,,,2,true,true,,false,true,
CC00264AN09,89400,false,,,3,true,true,,false,true,
CC00265XX10,86901,true,,,2,true,true,,true,true,
CC00267XX12,87700,true,4,4,4,true,true,,true,true,
CC00268XX13,87800,true,3,3,3,true,true,,true,true,
CC00269XX14,88300,true,,,2,true,true,,true,true,
CC00270XX07,88600,true,,,4,true,true,,true,true,
CC00271XX08,100400,true,,,4,true,true,,true,true,
CC00271XX08,88900,true,,,3,true,true,,true,true,
CC00272XX09,117900,true,3,4,4,true,true,,true,true,
CC00272XX09,89100,false,,,,,,,false,,
CC00275XX12,93501,false,,,4,true,true,,false,true,
CC00277XX14,89700,false,,,,,,,false,,
CC00281AN10,90400,true,4,4,4,true,true,,true,true,
CC00281BN10,90500,true,4,4,4,true,true,,true,true,
CC00284AN13,111400,true,,,3,true,true,,true,true,
CC00284AN13,90701,true,,,4,true,true,,true,true,
CC00284BN13,111500,true,,,4,true,true,,true,true,
CC00284BN13,90801,true,,,3,true,true,,true,true,
CC00286XX15,91700,true,4,4,4,true,true,,true,true,
CC00287AN16,91801,false,,,4,true,true,,false,,
CC00287BN16,93900,true,4,4,4,true,true,,true,true,
CC00289XX18,119700,true,,,4,true,true,,true,true,
CC00289XX18,92601,false,,,,,,,false,,
CC00290XX11,92900,true,,,4,true,true,,true,true,
CC00291XX12,93100,false,,,4,true,,,false,,
CC00292XX13,93800,false,4,4,4,true,true,,true,,
CC00293AN14,97401,true,,,4,true,true,,true,true,
CC00293BN14,97500,true,,,4,true,true,,true,true,
CC00295XX16,127500,false,4,4,4,true,true,,false,true,
CC00295XX16,94500,false,,,,,,,false,,
CC00298XX19,94700,true,2,2,2,true,true,,true,true,
CC00299XX20,94900,true,4,3,3,true,true,,true,true,
CC00300XX03,96000,true,,,4,true,true,,true,true,
CC00301XX04,113001,true,4,4,4,true,true,,true,true,
CC00301XX04,96400,true,,,3,true,true,,true,true,
CC00302XX05,113500,false,,,4,true,true,,false,true,
CC00302XX05,96800,false,,,,,,,false,,
CC00303XX06,96900,true,4,4,4,true,true,,true,true,
CC00304XX07,111600,true,,,4,true,true,,true,true,
CC00304XX07,97801,false,,,,,,,false,,
CC00305XX08,115700,true,,,4,true,true,,true,true,
CC00305XX08,98101,false,,,4,true,true,,true,,
CC00306XX09,98700,true,,,4,true,true,,true,true,
CC00307XX10,98800,false,,,4,true,true,,true,,
CC00308XX11,98900,true,,,4,true,true,,true,true,
CC00309BN12,99400,true,4,4,4,true,true,,true,true,
CC00310XX05,99500,false,1,1,1,false,true,,false,true,
CC00313XX08,100000,true,4,4,4,true,true,,true,true,
CC00314XX09,100101,true,,,3,true,true,,true,true,
CC00316XX11,101300,true,4,4,4,true,true,,true,true,
CC00319XX14,102201,false,,,,,,,false,,
CC00319XX14,117300,true,,,3,true,true,,true,true,
CC00320XX07,102300,true,2,2,2,true,true,,true,true,
CC00321XX08,102700,true,4,4,4,true,true,,true,true,
CC00322XX09,103700,false,,,4,true,true,,false,,
CC00324XX11,104500,false,,,,,,,false,,
CC00324XX11,111200,true,,,2,true,true,,true,true,
CC00325XX12,103900,false,,,4,true,true,,true,,
CC00326XX13,104100,true,,,2,true,true,,true,true,
CC00326XX13,118800,true,3,4,4,true,true,,true,true,
CC00328XX15,104800,false,,,1,false,true,,false,,
CC00329XX16,105400,false,,,3,true,true,,true,,
CC00330XX09,106500,false,,,,,,,false,,
CC00330XX09,128200,false,,,4,true,true,,false,true,
CC00332XX11,105700,true,4,4,4,true,true,,true,true,
CC00333XX12,105800,true,4,4,4,true,true,,true,true,
CC00334XX13,106100,true,3,3,3,true,true,,true,true,
CC00335XX14,106300,false,4,4,4,true,true,,false,true,
CC00336XX15,106600,false,,,4,true,true,,false,true,
CC00337XX16,107000,true,,,4,true,true,,true,true,
CC00338AN17,107700,true,,,4,true,true,,true,true,
CC00338BN17,107600,true,4,4,4,true,true,,true,true,
CC00339XX18,107200,true,,,3,true,true,,true,true,
CC00340XX11,107902,false,4,4,4,true,true,,false,true,
CC00341XX12,108000,true,,,3,true,true,,true,true,
CC00342XX13,108300,true,4,4,4,true,true,,true,true,
CC00343XX14,108500,true,4,4,4,true,true,,true,true,
CC00344XX15,108600,true,4,4,4,true,true,,true,true,
CC00345XX16,109000,true,,,4,true,true,,true,true,
CC00346XX17,109200,false,3,4,4,true,true,,false,true,
CC00347XX18,109600,true,3,4,4,true,true,,true,true,
CC00348XX19,110200,true,,,3,true,true,,true,true,
CC00349XX20,110300,true,,,4,true,true,,true,true,
CC00350XX04,109100,true,4,4,4,true,true,,true,true,
CC00351XX05,109500,true,,,4,true,true,,true,true,
CC00352XX06,110700,true,,,3,true,true,,true,true,
CC00353XX07,111000,true,3,3,3,true,true,,true,true,
CC00354XX08,112100,true,4,4,4,true,true,,true,true,
CC00355XX09,112600,true,,,4,true,true,,true,true,
CC00356XX10,112901,true,,,4,true,true,,true,true,
CC00357XX11,113900,true,4,4,4,true,true,,true,true,
CC00358XX12,114400,false,3,3,3,true,true,,true,,
CC00361XX07,111700,true,,,4,true,true,,true,true,
CC00361XX07,120500,true,,,4,true,true,,true,true,
CC00362XX08,114500,true,4,4,4,true,true,,true,true,
CC00363XX09,114900,true,3,3,3,true,true,,true,true,
CC00364XX10,115200,true,,,3,true,true,,true,true,
CC00365XX11,115800,false,1,1,1,false,true,,false,,
CC00366XX12,116300,true,,,3,true,true,,true,true,
CC00367XX13,116000,true,4,4,4,true,true,,true,true,
CC00368XX14,116600,false,3,3,3,true,true,,false,true,
CC00370XX08,114200,false,,,,,,,false,,
CC00370XX08,142400,true,,,4,true,true,,true,true,
CC00371XX09,114201,false,,,,,,,false,,
CC00371XX09,134700,true,,,4,true,true,,true,true,
CC00375XX13,116900,false,3,3,3,true,true,,true,,
CC00376XX14,118400,true,,,4,true,true,,true,true,
CC00377XX15,119800,true,,,4,true,true,,true,true,
CC00378XX16,120200,true,,,3,true,true,,true,true,
CC00379XX17,120400,true,4,3,3,true,true,,true,true,
CC00380XX10,121200,true,,,3,true,true,,true,true,
CC00381XX11,121600,false,2,2,2,true,true,,false,true,
CC00382XX12,121700,true,2,3,3,true,true,,true,true,
CC00383XX13,121800,true,,,4,true,true,,true,true,
CC00384XX14,122200,true,4,4,4,true,true,,true,true,
CC00385XX15,118500,true,,,4,true,true,,true,true,
CC00385XX15,125700,true,4,3,3,true,true,,true,true,
CC00388XX18,118700,false,,,4,true,true,,false,true,
CC00389XX19,119100,false,,,4,true,true,,false,true,
CC00389XX19,133800,true,,,3,true,true,,true,true,
CC00395XX17,121300,true,,,4,true,true,,true,true,
